"dcode","a_57","b_57","c_57","customer57","a_58","b_58","c_58","customer58","a_59","b_59","c_59","customer59","a_60","b_60","c_60","customer60","a_61","b_61","c_61","customer61"
"1001","4","1","7","144465","1","7","7","344816","4","0","7","606434","0","0","0","0","4","0","7","487420"
"1002","1","8","8","253437","8","11","8","228288","1","9","7","0","0","0","0","0","1","7","7","226729"
"1003","4","20","53","1268010","19","33","54","1560363","4","19","54","2323639","0","0","0","0","4","21","46","365297"
"1004","1","2","5","153163","2","17","5","119746","1","2","6","120450","0","0","0","0","1","2","5","111194"
"1005","5","3","15","207411","3","15","14","525992","5","3","14","367211","0","0","0","0","5","3","14","369814"
"1006","3","1","24","837719","1","12","24","510003","3","1","24","155495","0","0","0","0","3","1","24","690380"
"1007","2","3","5","219926","3","21","5","205544","2","3","6","5000","0","0","0","0","3","3","5","86700"
"1008","0","1","8","490196","1","14","8","113705","0","1","8","162790","0","0","0","0","0","1","8","45600"
"1009","3","3","17","1111320","3","33","17","1111320","3","3","17","1171600","0","0","0","0","3","3","17","1044049"
"1010","5","7","39","1357846","7","13","39","628912","5","7","39","531013","0","0","0","0","5","7","39","770289"
"1011","8","15","12","623508","15","8","13","1943325","7","16","11","1890215","0","0","0","0","8","15","13","407520"
"1012","3","0","13","351830","0","17","14","347607","2","0","13","67379","0","0","0","0","2","0","13","164881"
"1013","0","0","5","249159","0","24","5","219446","0","0","5","138795","0","0","0","0","0","0","5","80681"
"1014","4","4","6","494953","4","18","6","403325","4","4","6","288643","0","0","0","0","4","2","6","403325"
"1015","1","3","22","357000","3","8","22","357503","2","5","13","360437","0","0","0","0","3","4","13","330561"
"1016","3","0","15","405256","0","24","15","551062","2","0","12","47436","0","0","0","0","2","0","12","68471"
"1017","2","1","12","627112","1","15","12","571408","2","1","12","614556","0","0","0","0","2","1","12","518953"
"1018","2","0","8","200523","0","13","8","321191","2","0","8","314247","0","0","0","0","2","0","8","311798"
"1019","0","3","26","864580","3","22","24","623800","0","3","22","69246","0","0","0","0","0","3","22","86132"
"1020","1","3","23","421837","3","18","26","1135150","1","3","26","442778","0","0","0","0","1","3","25","307669"
"1021","5","6","28","831745","6","22","28","1141019","5","6","28","1375075","0","0","0","0","5","6","24","1449092"
"1022","0","2","19","320379","2","13","19","289976","0","2","19","62788","0","0","0","0","0","1","18","39324"
"1023","4","15","17","640235","14","28","12","530156","3","13","13","425026","0","0","0","0","3","7","12","183546"
"1024","2","2","13","3416444","2","13","13","520294","2","1","12","388266","0","0","0","0","1","1","12","321979"
"1025","4","2","18","349236","2","6","16","349236","4","3","19","421746","0","0","0","0","6","2","16","550350"
"1026","1","10","25","279084","10","12","25","279084","1","8","27","351362","0","0","0","0","1","10","25","249773"
"1027","7","5","18","1145832","6","25","18","1010608","7","6","18","722918","0","0","0","0","7","6","18","511150"
"1028","4","1","5","417000","1","5","5","394215","4","1","5","168082","0","0","0","0","4","2","5","258597"
"1029","3","4","21","1936421","4","32","21","1983811","1","3","2","1959137","0","0","0","0","3","4","21","1480159"
"1030","3","7","22","717480","7","18","22","717480","3","7","18","616146","0","0","0","0","3","7","22","588043"
"1031","1","0","13","96068","0","12","13","92379","1","0","13","7562","0","0","0","0","1","0","13","82920"
"1032","3","2","19","255760","2","19","19","337904","3","1","19","114530","0","0","0","0","3","2","19","116913"
"1033","2","0","32","1075412","0","19","32","383411","2","0","32","262370","0","0","0","0","2","0","25","136602"
"1034","5","12","24","804360","10","11","17","1151340","5","11","16","1289471","0","0","0","0","3","10","15","614071"
"1035","3","1","18","666972","1","4","18","480986","4","1","15","663725","0","0","0","0","3","1","16","381765"
"1036","1","5","33","974000","5","8","33","979770","1","5","33","471600","0","0","0","0","1","5","27","465400"
"1037","4","1","13","265009","1","5","12","202657","3","1","12","261519","0","0","0","0","4","1","12","343987"
"1038","2","0","32","521490","0","18","28","460608","1","1","28","291790","0","0","0","0","1","1","27","471884"
"1039","1","0","11","414382","0","39","11","326405","1","0","11","163465","0","0","0","0","1","0","11","172040"
"1040","2","3","12","472626","3","23","12","603497","2","3","12","683780","0","0","0","0","2","3","12","398921"
"1041","5","3","14","729132","3","26","14","749300","5","4","13","724500","0","0","0","0","7","6","30","406655"
"1042","8","6","29","466416","6","23","30","466416","8","6","30","568552","0","0","0","0","1","6","11","242975"
"1043","1","6","11","266580","6","32","11","259471","1","5","12","253613","0","0","0","0","1","8","21","500935"
"1044","1","8","21","331485","8","21","21","503978","1","9","20","517780","0","0","0","0","2","2","9","338850"
"1045","1","5","33","140071","4","5","11","435063","2","4","11","37332","0","0","0","0","1","5","33","141481"
"1046","2","4","11","435063","5","53","33","116187","1","4","34","131106","0","0","0","0","2","3","4","310089"
"1047","2","3","4","127092","3","13","4","285372","2","3","4","320409","0","0","0","0","5","3","14","419715"
"1048","3","1","18","368132","1","11","18","230696","3","1","18","124783","0","0","0","0","3","1","18","187896"
"1049","1","7","13","152775","7","5","13","177470","1","7","13","161100","0","0","0","0","1","8","13","183850"
"1050","0","1","23","306948","1","29","23","163493","0","1","23","155296","0","0","0","0","0","1","20","154840"
